aid,weighted,title
2685,0.0936512199102653,明日的世界将会星光灿烂(明日的世界星光闪耀)
2306,0.0885773025836996,Re:Stage！
3432,0.0831036369046271,祈祷之国的莉莉艾儿
1966,0.0826197268102221,绯弹的亚莉亚AA(绯弹的亚里亚AA)
3295,0.0770021308509796,结城友奈是勇者 勇者史外典
3863,0.0742280134230045,魔女之旅 学园物语
3754,0.0736074317015817,深夜重拳(深夜PUNCH 动画投稿者是吸血鬼！？)
3525,0.0729343473065796,Lovelive! 虹咲学园偶像同好会 红莲的剑姬~Flamesword Princess~
3375,0.0720509059716414,强袭魔女Memorial Episode 在一起哦
2895,0.0716005132451588,声优广播的幕前幕后(声优广播的台前幕后)
1868,0.0697516100930403,脑浆炸裂girl
3590,0.0683696946975523,Stellar step
3547,0.0679195737047064,NO推理、NO侦探？
3280,0.0664177350027436,为青年设立的读书俱乐部
3137,0.0642216838570625,身为VTuber的我因为忘记关台而成了传说
1215,0.0622495976320839,学生会侦探桐香
3735,0.0616744501103587,少女星间漂流记
1845,0.0607182846929709,合奏女孩！
3316,0.0603413198270686,Lycoris Recoil 莉可丽丝 Ordinary days
401,0.060110491762696,德鲁伊来啰!
2845,0.0589250238944431,乃木若叶是勇者(勇者部系列三)
2418,0.0587328043974746,你好哇，暗杀者
2768,0.0583936296708593,转生前是男的所以逆后宫容我拒绝
343,0.058005166103393,静流姐系列
1156,0.0574358314813475,STITCH裁缝少女
643,0.0569862058652207,PiPit!!天线少女
1021,0.0549110623645219,侦探歌剧MilkyHomes～overture～
2734,0.0510247867266874,为了当剑士而入学，魔法天赋却高达9999！？
2438,0.05086892099762,Cheers!爱的鼓励
577,0.0493206532640255,强袭魔女
2792,0.0491931458317678,家里蹲吸血姬的郁闷(家里蹲吸血姬的苦闷)
1577,0.0466249098279209,妮娜与兔子与魔法战车
3089,0.046596416635835,海鸟东月的『荒唐事』
3275,0.0454806032746305,推偶像三原则
952,0.0448227369385586,拜托了，莉莉丝
2314,0.0425803058751727,童话魔法使(原书·原书使)
2255,0.0415092544086889,魔女之旅
3294,0.0391465845380111,楠芽吹是勇者(勇者部系列四)
531,0.0381657853657631,苍穹女武神(苍穹的驱真)
2541,0.038127900689463,本田小狼与我
3558,0.0379019950231361,狱门抚子在此
3885,0.0375693971433086,寂静魔女 索姆斯没人要中队Reboot
2855,0.0370096357543358,刀使巫女 琉球剑风录
4014,0.0357594709295772,在揍爆向导天使之后，我当上了死灵术师
1255,0.0351959562769161,某僵尸少女的灾难
2818,0.0341851339868729,碧蓝航线 Episode of Belfast
251,0.0336718744401383,魔学诡术士
143,0.0326956271880737,高中女神
1601,0.0325611311213429,超次元游戏海王星
595,0.0325062087309154,叛红猎杀
2945,0.0320302270537285,成为女贤者的光秀待在女勇者信长的队伍里面浑身不自在
3017,0.0310546668389523,战翼的希格德莉法
2152,0.0302746461287,熊熊勇闯异世界
2659,0.0298195234570814,齿轮驱动
1091,0.0283735976037788,强袭魔女 乙女之章
3810,0.0276372720179854,经学少女传~考试地狱中的男装大小姐~
203,0.0275985914045997,战斗！暴风少女！
2963,0.0271645499949018,超次元游戏海王星：梦魇时刻？
2138,0.0255908383327315,OBSTACLE Series 激战的魔女之夜
1610,0.0253341802357056,舰队收藏(舰队Collection 阳炎，起锚！)
3101,0.0253019696441298,菜鸟炼金术师开店营业中(新人炼金术师的店铺经营)
2410,0.0239195842189486,英雄转世为英雄之女目标再度成为英雄(重生英雄之女的英雄立志再度成为英雄)
519,0.0238445790351273,向阳素描 欢迎来到向阳庄
2258,0.0230413125887953,高贵魔女 第506统合战斗飞行团
1609,0.0221680213252547,月下魔女
972,0.0210786556791749,如果杜拉(假如高中棒球部的女经理读了德鲁克的《管理学》)
2471,0.019612642679403,带着外挂转生为公会柜台小姐
1674,0.0182167670061163,蛮憨女侦探事件簿
2441,0.0174008630928392,持续狩猎史莱姆三百年，不知不觉就练到LV MAX
2543,0.0160271046823422,朋友以上侦探未满
149,0.0159694818918839,钢铁白兔骑士团
2480,0.015866858838543,怕痛的我，把防御力点满就对了
1819,0.0135726695487226,舰队收藏(舰队Collection 鹤翼之绊)
2537,0.0129404788463535,自称贤者弟子的贤者
1990,0.0106890282113925,SAO刀剑神域外传 Gun Gale Online
82,0.0085490394986442,七姬物语
