filename,yuri_norm
60_3450,0.09695290858725762
82_4714,0.012465373961218829
82_4724,0.01523545706371189
82_19479,0.02493074792243767
82_36615,0.023545706371191133
124_6298,0.33240997229916897
124_19644,0.3684210526315789
124_19645,0.37811634349030476
143_6832,0.0
149_7019,0.047091412742382266
149_7020,0.01800554016620498
149_7021,0.06925207756232687
149_7022,0.05124653739612188
149_12765,0.022160664819944595
149_13629,0.033240997229916885
149_20210,0.06925207756232687
149_26295,0.011080332409972304
149_30340,0.02493074792243767
149_30348,0.03185595567867035
149_35193,0.06232686980609417
203_8499,0.05263157894736842
203_19475,0.04293628808864265
208_8558,0.13019390581717452
208_8571,0.07202216066481994
208_8577,0.09556786703601108
251_9594,0.026315789473684223
251_12161,0.023545706371191133
251_12205,0.054016620498614956
251_16453,0.04986149584487533
255_9641,0.2770083102493075
255_9660,0.25900277008310246
255_9668,0.18975069252077564
255_9671,0.2146814404432133
255_9675,0.23268698060941828
255_9682,0.05678670360110803
255_9687,0.24792243767313016
255_9691,0.26177285318559557
255_9697,0.30055401662049863
255_9698,0.21329639889196675
255_9707,0.0706371191135734
255_17548,0.17590027700831024
255_19141,0.25069252077562326
255_19142,0.23268698060941828
255_20343,0.17867036011080334
255_25495,0.12188365650969528
255_25499,0.24099722991689748
255_25950,0.06094182825484764
255_28845,0.16204986149584488
255_29646,0.22022160664819945
255_30182,0.1925207756232687
255_33415,0.24099722991689748
255_33423,0.13157894736842105
255_35187,0.19390581717451524
255_37585,0.2077562326869806
255_39740,0.18698060941828254
255_44280,0.13157894736842105
255_46532,0.09418282548476455
255_48951,0.22160664819944598
255_50050,0.15096952908587258
255_63937,0.12326869806094182
255_63938,0.14404432132963987
255_134554,0.12742382271468145
298_10595,0.0595567867036011
298_10601,0.07202216066481994
298_17775,0.19806094182825484
298_20499,0.10249307479224376
301_10869,0.0595567867036011
301_10871,0.0706371191135734
301_10884,0.04986149584487533
301_17145,0.047091412742382266
301_18174,0.0595567867036011
301_29966,0.012465373961218829
343_12044,0.05124653739612188
343_17953,0.03047091412742381
343_17955,0.11357340720221606
349_12158,0.13019390581717452
391_14748,0.15789473684210525
391_14750,0.1371191135734072
401_14946,0.1329639889196676
401_19786,0.16066481994459833
401_27844,0.21052631578947367
452_16680,0.3047091412742382
452_19357,0.2867036011080332
452_26034,0.23961218836565096
499_18026,0.17174515235457063
519_18195,0.04847645429362882
531_18333,0.04847645429362882
531_29813,0.07340720221606647
531_32910,0.14681440443213295
531_65127,0.05678670360110803
531_65397,0.09141274238227147
531_65764,0.1260387811634349
531_66734,0.0817174515235457
531_66888,0.06371191135734072
577_18765,0.06786703601108034
577_23778,0.1745152354570637
583_18786,0.17174515235457063
595_18889,0.09418282548476455
595_18891,0.03047091412742381
643_19288,0.167590027700831
655_19379,0.20914127423822715
655_19381,0.23545706371191139
657_19396,0.07756232686980609
667_19434,0.25900277008310246
677_19543,0.19113573407202217
677_43406,0.1925207756232687
806_21516,0.16066481994459833
894_24103,0.1371191135734072
915_25331,0.12188365650969528
929_26654,0.21745152354570638
952_27674,0.14265927977839332
952_27685,0.09141274238227147
972_28272,0.022160664819944595
1020_29857,0.5124653739612188
1021_29936,0.14542936288088643
1091_32943,0.054016620498614956
1091_34133,0.1149584487534626
1091_35467,0.08310249307479223
1091_40035,0.04986149584487533
1115_33933,0.15096952908587258
1115_33942,0.2257617728531856
1156_35334,0.05263157894736842
1215_37600,0.1191135734072022
1215_45500,0.1371191135734072
1215_50634,0.08310249307479223
1215_53513,0.05263157894736842
1215_59762,0.09556786703601108
1215_69536,0.1772853185595568
1215_112296,0.09833795013850413
1255_39335,0.04432132963988919
1255_51028,0.0706371191135734
1414_46255,0.06371191135734072
1414_71258,0.03601108033240996
1414_72715,0.05678670360110803
1414_104755,0.01662049861495843
1414_104765,0.023545706371191133
1414_108915,0.07756232686980609
1414_108917,0.05263157894736842
1414_119795,0.1038781163434903
1414_122209,0.1149584487534626
1414_122955,0.06925207756232687
1414_123397,0.055401662049861494
1577_52891,0.11634349030470914
1577_62172,0.10664819944598337
1577_78877,0.1260387811634349
1601_54275,0.07202216066481994
1609_54583,0.06232686980609417
1609_61847,0.054016620498614956
1610_54619,0.0858725761772853
1610_61794,0.14265927977839332
1610_62011,0.06094182825484764
1610_74433,0.05124653739612188
1610_74947,0.09418282548476455
1610_78156,0.05817174515235457
1610_80029,0.08725761772853186
1642_55559,0.11357340720221606
1643_55576,0.29778393351800553
1674_56782,0.04986149584487533
1677_56909,0.020775623268698057
1677_56910,0.011080332409972304
1683_57157,0.25900277008310246
1683_72353,0.21329639889196675
1683_72363,0.2673130193905817
1683_72396,0.3033240997229917
1683_72409,0.26869806094182824
1683_81033,0.24792243767313016
1683_81043,0.32825484764542934
1683_97801,0.33240997229916897
1683_99285,0.32963988919667586
1683_115965,0.22437673130193905
1683_117332,0.2520775623268698
1683_125053,0.33518005540166207
1683_139072,0.30055401662049863
1683_148767,0.3573407202216067
1683_159554,0.27977839335180055
1683_160185,0.31163434903047094
1698_57756,0.2700831024930748
1729_58906,0.14404432132963987
1729_68779,0.15373961218836565
1751_59858,0.25761772853185594
1819_63214,0.023545706371191133
1819_65557,0.033240997229916885
1819_68669,0.055401662049861494
1819_74151,0.03878116343490305
1819_74187,0.04293628808864265
1819_80022,0.06094182825484764
1833_63846,0.23130193905817176
1845_64615,0.11357340720221606
1845_66108,0.15512465373961218
1868_65575,0.09279778393351801
1868_67542,0.09556786703601108
1868_73585,0.08448753462603878
1868_124370,0.1371191135734072
1868_132065,0.2188365650969529
1868_132354,0.11218836565096953
1966_69040,0.1966759002770083
1966_73874,0.18282548476454294
1966_75787,0.25761772853185594
1966_77579,0.23130193905817176
1990_70386,0.041551246537396114
1990_70731,0.00692520775623269
1990_85340,0.04293628808864265
1990_86235,0.020775623268698057
1990_89877,0.03601108033240996
1990_89890,0.00692520775623269
1990_91522,0.04986149584487533
1990_113126,0.04847645429362882
1990_116250,0.029085872576177285
1990_134304,0.03047091412742381
1990_142308,0.04293628808864265
1990_147036,0.022160664819944595
1990_150239,0.026315789473684223
2099_75597,0.5457063711911357
