什么	0.1591
同学	0.1466
这样	0.1304
不是	0.1048
学姐	0.1006
没有	0.0920
喜欢	0.0912
知道	0.0842
我们	0.0798
姐姐	0.0793
可以	0.0791
的话	0.0761
安达	0.0743
宫城	0.0739
老师	0.0737
仙台	0.0707
觉得	0.0695
仙台 同学	0.0694
岛村	0.0685
怎么	0.0668
那个	0.0632
不会	0.0626
这个	0.0602
就是	0.0581
这么	0.0579
鞠佳	0.0562
一起	0.0552
自己	0.0532
时候	0.0526
真的	0.0517
为什么	0.0495
若叶	0.0488
现在	0.0487
这种	0.0478
还是	0.0475
今天	0.0456
虽然	0.0448
结叶	0.0429
只是	0.0429
不要	0.0420
一下	0.0410
应该	0.0405
已经	0.0383
学姊	0.0356
但是	0.0354
朋友	0.0352
可能	0.0351
事情	0.0347
东西	0.0326
这里	0.0323
一个	0.0317
感觉	0.0316
真是	0.0312
一直	0.0308
那么	0.0308
一样	0.0299
谢谢	0.0297
可爱	0.0286
开心	0.0283
要是	0.0280
之后	0.0280
之前	0.0279
妹妹	0.0269
&# 8943	0.0267
8943	0.0267
妈妈	0.0266
抱歉	0.0265
好像	0.0256
没关系	0.0254
小姐	0.0253
地方	0.0253
我会	0.0248
大人	0.0246
不用	0.0246
开始	0.0244
学校	0.0243
明明	0.0243
你们	0.0242
有点	0.0240
问题	0.0240
就算	0.0239
起来	0.0238
哪里	0.0238
而且	0.0236
还有	0.0234
想要	0.0232
完全	0.0231
一点	0.0223
小牧	0.0222
关系	0.0219
出来	0.0214
回来	0.0213
那种	0.0212
刚才	0.0208
讨厌	0.0204
好好	0.0202
没什么	0.0199
不能	0.0197
看到	0.0197
那样	0.0196
