filename,weighted
3917_163022,0.9998089710454546
2788_110290,0.9280612527628728
3585_162175,0.87558814685535
3872_161224,0.8590422750073313
2896_117063,0.8503707666621978
3816_158814,0.8495903801867098
3716_155281,0.8466372788661328
3519_148571,0.8183215341334857
3519_166567,0.8169712482708638
2751_107817,0.8153483409717777
1020_29857,0.8124056424739148
3963_164265,0.8115185449355948
3763_163631,0.8055010272231531
3519_160917,0.7971790706000162
3585_149565,0.7945818166447643
2896_154846,0.7920344938612311
3585_156877,0.7890586017410792
3519_153113,0.7887205766537556
2905_117172,0.7874683398477482
2099_75597,0.7842633525606991
3998_165601,0.7826140875719646
3585_156682,0.7779369361180604
3519_146347,0.7774975094312324
3585_152730,0.7717191252211932
3210_132833,0.7666350993816088
3519_157441,0.7657834218920399
3210_142152,0.763757850261438
3784_157680,0.7621643443365185
3210_137424,0.7596469328460236
3519_145969,0.7573443201537989
3872_161210,0.7569905437109934
124_19645,0.7547623420126086
2751_118989,0.7535020543799383
4040_167040,0.747721252331105
3759_157046,0.7472725786549269
3759_157035,0.74553209651166
2751_125697,0.7455227001041179
2751_141461,0.7420933705586522
124_6298,0.7410360496741455
3716_155275,0.7394610318453979
3866_160899,0.7374107447756393
3833_159575,0.7372367116482422
2751_122070,0.7369501326595815
2482_106168,0.7368882778208617
3128_142015,0.7349199302874907
2751_136813,0.734726636518856
3625_151723,0.734599361157898
3986_165240,0.7330414211868115
3128_130682,0.7327758167136093
2482_93118,0.7299825404416459
124_19644,0.7284773728102459
2896_116723,0.7277383266298272
3128_129602,0.7256067244017383
3866_166204,0.7237697770594116
2291_84182,0.7232571651162092
3723_155603,0.7229205962766572
3519_148314,0.7227465284303697
2661_102547,0.7216632540165433
3056_130465,0.7195824268573017
3097_128077,0.719184257895458
3755_156737,0.7179733671060586
2812_111584,0.7174162559016729
452_16680,0.7147506284327314
2751_166872,0.7121983475143188
2896_117226,0.7099752138793426
4043_167174,0.7099292774008022
3505_145386,0.7075665003466889
2920_117810,0.7072808310463373
3250_134718,0.7057997556284042
3667_153600,0.7048577966493202
3210_161286,0.7042346187257817
2751_159480,0.7042001809498016
452_19357,0.703140075904062
3763_164862,0.7031272349443098
3210_166202,0.7017610592529141
929_26654,0.6988733023540733
667_19434,0.6975469020667553
1698_57756,0.6962736270907911
2751_148354,0.696091158813238
3665_153545,0.6948058955285189
1643_55576,0.6945428375216075
3097_128114,0.693231441959589
2680_103564,0.6931443443870028
3854_160445,0.6924043660964665
2482_97409,0.6919349193446814
655_19381,0.690239874036945
2896_149574,0.6889457225058607
2291_106328,0.6883682078706379
2828_112677,0.6882956781306406
3560_148430,0.6882054605945164
452_26034,0.6880732850974596
2131_82072,0.6839097178308535
1833_63846,0.6838419124002401
3056_125389,0.6790219857668152
3232_133919,0.6785288763094454
2431_90434,0.6774346189670672
655_19379,0.6773623429934755
2635_137533,0.6771209320062115
1115_33942,0.6764575003602327
3961_164203,0.6762551680469302
2635_104245,0.6761955726076481
2773_109485,0.6750405684470917
3800_158285,0.673667728568035
3785_157738,0.6729860607192679
677_19543,0.6706406432863177
3693_154379,0.6699729960427747
3625_161235,0.6690550110486744
2828_114310,0.6686310713363437
2468_144039,0.6664199391995559
2235_90022,0.66558908593487
677_43406,0.665255832995503
2635_101053,0.6634320161723031
2635_145272,0.663418330995255
3961_164825,0.6625052975362706
499_18026,0.6622897651429855
3763_161237,0.6617370953579917
3653_153450,0.6615208791303447
2464_92235,0.6613885116188268
2235_81534,0.6606891316578716
1683_159554,0.660526351617994
3964_164338,0.659068280017357
3964_164352,0.6568755510009082
1729_68779,0.6567858952286636
2131_77090,0.655369286846124
3862_160792,0.6552122816128584
1115_33933,0.6547308520181195
806_21516,0.6546470642917854
3780_157613,0.654331426418304
391_14748,0.6540158041069275
3817_158891,0.6538920675392671
583_18786,0.6536905817277239
1729_58906,0.6536296243769291
2896_116915,0.6528970115298379
3639_152497,0.6501644547991752
894_24103,0.6500614734515417
208_8558,0.6500603239856402
349_12158,0.6482487872258008
391_14750,0.6474267129176902
915_25331,0.6445256315227271
1683_72409,0.6444400769021782
3386_139167,0.6417627411693769
2635_139773,0.6404329314351571
1414_122209,0.6389561053187676
3507_145453,0.6375538747614353
3078_126726,0.6350736775836882
2492_93410,0.6344796509167585
1642_55559,0.6337523104558708
2896_127444,0.6335937265325927
208_8577,0.6334047877753364
2689_104058,0.6332250973678948
1414_108915,0.6324113797421482
60_3450,0.6323276059900159
1414_119795,0.632029824422717
2997_125301,0.6314520565794196
3802_158308,0.6313338135772388
2152_141783,0.6301693394177285
3251_134735,0.6285800276548256
3249_134644,0.6270016441803198
2306_98863,0.6269832478871048
3078_126855,0.6258587166868711
1414_122955,0.6238698877806377
657_19396,0.6215717514173896
1414_46255,0.6214227849120902
208_8571,0.6208204203827394
1414_108917,0.6170126689166127
1414_123397,0.6168843732100723
3703_154789,0.6163811140625779
1414_72715,0.6156618028390778
255_9641,0.6134537506166164
1414_71258,0.6103060289418839
3653_152923,0.6094337717990896
1414_104765,0.6082479900182519
2468_122234,0.6080990941086959
255_9698,0.6064079162314929
2562_97163,0.6045309336540189
1683_160185,0.604261120407922
3653_157261,0.6038071348447621
1414_104755,0.6030801452377719
3763_157110,0.6016703182297923
2685_151310,0.5945054784987086
2685_112425,0.5936110469241882
2997_122164,0.590966655253491
1683_72363,0.5900495131148035
2997_125114,0.5722975944280276
255_9697,0.5695043185318166
255_48951,0.5675453654264823
2685_103754,0.5642036638452552
1215_37600,0.5614966164263601
1683_72396,0.5603673519981139
2306_84905,0.5549469885595996
1683_72353,0.550505517865752
2306_98864,0.5487523224863396
255_9671,0.5428088869730352
255_19141,0.5389957392070477
255_19142,0.5383874466500665
255_29646,0.5361448589684418
1966_75787,0.5339232941816293
255_134554,0.5328016761158996
1683_125053,0.5324117671293604
1683_148767,0.53182744437806
2468_115960,0.5228961588569362
255_9675,0.5184256384922054
1966_77579,0.5164860684974133
255_9660,0.513631171593858
255_9707,0.5074244038018388
1683_139072,0.5070612957145185
1683_81043,0.5023170600568437
3542_157192,0.4996539920209254
1215_45500,0.4981799217780704
255_9687,0.4970642496852213
255_9668,0.486314934488224
1966_73874,0.4835043613411935
2468_129551,0.4806187220717339
1215_69536,0.4780189978413271
255_44280,0.4778245111680771
255_25950,0.4770294344847582
1683_97801,0.4740120859310504
255_39740,0.4712025962621833
1215_112296,0.4711575536912008
255_33423,0.4686198411454393
1966_69040,0.4571503935781394
255_9691,0.4547346306101342
255_25499,0.454431305731471
1683_115965,0.4531291848059956
255_63938,0.4519575886547078
1683_117332,0.451646564397568
1683_81033,0.4485308509206692
1215_50634,0.448404191363986
1683_57157,0.4472835779178672
2756_134755,0.4460578261020702
255_28845,0.4333729593645773
2152_113497,0.4304297029286169
2152_112766,0.4218452402104616
255_30182,0.4160846077670944
255_33415,0.4118917294015854
255_37585,0.411127654411336
255_50050,0.4071063785115478
2468_114701,0.3867724540763732
2468_92542,0.3858783023563663
255_9682,0.3821704863304292
255_46532,0.3774507109210063
1683_99285,0.3704524280315648
2651_128686,0.3667839875822136
2468_98528,0.3639152703881159
255_63937,0.3600491716463399
255_17548,0.3552728970575902
255_20343,0.3513211248972643
1215_59762,0.347875648956106
531_65397,0.3358347027764737
2651_131330,0.3252640491953636
2651_129358,0.3249087948151413
2468_114697,0.3240550713579115
531_66734,0.3133385079321837
298_17775,0.3075190333351906
255_25495,0.3015795196446965
2651_102068,0.3000407239021976
255_35187,0.2862442583727801
3542_159751,0.2792183844715235
2152_139562,0.2738572428024486
1215_53513,0.2688817508926412
2651_134566,0.2671888416135143
2756_112633,0.2663655142019943
3542_149292,0.2593053701989799
298_10601,0.2480844951829475
2756_165934,0.2407560635600849
2756_118972,0.238487554888087
2451_164214,0.2379414577702199
531_65764,0.2364096442310016
3542_147412,0.2360415189445791
2756_127015,0.2259618147566429
2152_114477,0.2253054861040901
2756_143520,0.2213713905171284
298_20499,0.2185302940453403
2468_160019,0.2069573783884693
2152_159173,0.1978249474855066
2651_118252,0.1967128069669091
3611_155043,0.1945775323339953
2152_117475,0.1940499382654565
2152_119565,0.1933873831918952
2651_103266,0.1920736220464052
2152_92927,0.1832313947749001
531_66888,0.1821667959755231
3611_163958,0.1811669861595799
2651_145445,0.1810768306339086
2756_167146,0.1651645188279541
2152_128293,0.1636182902339178
2451_127924,0.1587409479367291
2756_159532,0.1579425749599606
2756_135147,0.1560610921708547
2152_115107,0.1470224334385166
2756_108273,0.1464026545098002
2152_97205,0.1436584679416611
2152_112870,0.1410002144303591
2152_145859,0.1395862909053426
531_32910,0.132327628217099
298_10595,0.1311190363103978
4026_166703,0.1303109086818741
2734_119201,0.1263975897029619
2152_89132,0.1261358517865846
2152_137195,0.1233571417048298
3611_150752,0.1170182376532325
2152_80684,0.116084914966074
2451_91489,0.1149534910675088
2451_116164,0.110985525232512
2152_82625,0.1072758485687488
3137_146794,0.1031675178022506
2152_131798,0.1028734837154095
2152_77900,0.0981112013704949
3269_135382,0.097438835058184
2471_101712,0.0973827751175426
1751_59858,0.0966725199757111
3735_157496,0.0948277541470573
2895_117002,0.0932363808794038
2152_79067,0.092778806293204
1868_132065,0.0907174063737706
2451_94926,0.0892498081425363
401_27844,0.089092766817678
2756_145929,0.0877096642491445
2895_118770,0.0868241549753489
3547_149476,0.0866923662165056
2496_93457,0.0851341964211383
2471_101717,0.0816077412962649
1990_89877,0.0814072154476499
2895_155026,0.0809047343704862
2255_108413,0.0803565029418038
2895_153172,0.0774524088867661
2441_106148,0.0774253395040726
2734_106844,0.0772682612857478
2441_91100,0.0766027130556734
2768_109073,0.0755363054526706
3754_156707,0.0736702692965424
2255_97803,0.0733632778403683
2895_150951,0.0730011287113097
3590_149859,0.0728235002024755
2895_116710,0.0724101178965447
3863_160807,0.0722413155922714
3375_138681,0.0720472300263213
3735_163651,0.0716554180655103
2255_129283,0.0713188934354251
2152_106047,0.0708260501043285
2255_104473,0.0707118546299633
2895_134661,0.0701790352360345
2367_93911,0.0700947699357053
2895_122477,0.0699597557142165
2441_116433,0.0696732585786425
3525_146329,0.0689860812101942
2410_97497,0.0684774633400621
531_18333,0.0682166527628309
2792_135838,0.0669640442833947
1845_66108,0.0662980671018554
2410_89519,0.0658006799713184
1845_64615,0.0656704826980902
2792_137995,0.0654458082765359
2895_159563,0.064931819432529
577_23778,0.063703592993209
3332_138097,0.0636804802135956
3413_140732,0.0635362898589076
531_29813,0.0634337411997362
2255_142921,0.0633518737136353
3137_130256,0.0627238781074041
643_19288,0.0626009595982822
1021_29936,0.0625585180567084
3137_134707,0.062288915747335
2441_113367,0.0622530012870838
3137_143296,0.0622287058923469
2792_144990,0.0620473320978333
3590_152213,0.0619058333946924
2367_128760,0.0617701953341617
2255_110545,0.0612635118072958
2895_164223,0.060936355144772
2845_114071,0.0609154007345432
2471_111398,0.0608990929938233
3316_136794,0.060387786431617
3280_135793,0.060023669970677
2441_111561,0.0590223614969023
2418_89871,0.0589568905320704
401_19786,0.0581874314176563
3885_162177,0.0580824299653213
2152_86579,0.0579400554178963
3295_136200,0.0575839957415025
3558_165280,0.0574102107040602
2451_137549,0.0568772391932612
3885_164577,0.0567927303464813
2255_144017,0.0564161979877728
3137_154919,0.0559993868931846
2792_126100,0.0559300944330676
3295_136188,0.0557229049872936
3089_127556,0.0553820215297083
3885_161743,0.0553230954387737
531_65127,0.0546672412492829
2441_103769,0.0546081919661535
2792_127183,0.0544321058309152
3332_141320,0.0544110813488181
3406_140173,0.0540010518575228
3332_137255,0.0537318081830456
2255_94086,0.0531639441275433
2792_115084,0.052999616353703
2438_90975,0.0526227383041882
3137_148607,0.0514181133426243
2895_116842,0.0513599918093509
2441_119910,0.0510928825477898
2255_99805,0.0510888761288103
2471_95234,0.0510517571678592
1990_116250,0.0509436033952357
2818_111814,0.0506537070412846
2471_92679,0.0505089086201348
2792_142600,0.0504260640633324
401_14946,0.049768002346589
1868_124370,0.0497364257049943
3137_138391,0.0495033770652887
2152_109918,0.0490528298129801
343_17955,0.0487685077727818
2818_127341,0.0486601584981845
1990_91522,0.0483421625985849
2792_118848,0.0481084089490448
2300_84761,0.0479920548879949
2471_107289,0.0473754548445411
1577_78877,0.0472543379272069
2314_91290,0.047115875239237
2441_125778,0.0470874688750697
3735_156030,0.0470321216246227
2480_92985,0.0467868202442718
1990_89890,0.046624223851507
2438_91540,0.0465031939881483
2845_114050,0.0462341277942229
952_27674,0.0462202596159763
1610_54619,0.0459948498682925
1156_35334,0.0457037821520151
1868_132354,0.0455325152288687
2441_98122,0.0454789287294815
2441_91746,0.0450397540096414
3558_157333,0.044777325259738
2541_113502,0.0447766826530749
3810_158494,0.0443006460422533
1610_61794,0.0440983015089214
2792_110406,0.0440775299252906
3558_148375,0.0439376916722916
2314_85321,0.0439197482820614
1868_67542,0.0437785201165446
1990_147036,0.0434544234766763
2367_117201,0.0433193519514014
3885_164584,0.0433139124396867
1990_150239,0.0432440029036588
1990_85340,0.0431854922822945
1610_74947,0.0430039780431431
2255_120785,0.0429680181728354
2255_120784,0.0425661512636664
2255_82490,0.0425315688593153
343_17953,0.0424805073173593
2792_124189,0.0421885492422547
2541_96151,0.0413997651189371
2138_90034,0.0411902819812764
2541_105416,0.0405335423851223
2441_147727,0.0402282900335323
1091_34133,0.0400885813462725
3275_135628,0.0400823450098819
2255_114032,0.0398606110183707
3294_136178,0.0393604255820337
2855_114552,0.039297538473774
2367_133856,0.0389655665033199
3017_123358,0.038931184366962
2255_154587,0.0389096452486746
2314_91365,0.0388474466488894
1577_52891,0.0387172804989993
2480_107832,0.0385506306163441
2314_97462,0.0385285413964499
3558_151754,0.0384641644414234
3432_141806,0.0383469325191925
2410_110426,0.0383291341547146
2818_125018,0.038291643204379
2255_165709,0.0378798100945538
2255_102172,0.037849669353816
4014_166308,0.0372125471265749
203_8499,0.0370966959391936
1868_65575,0.0369215081269943
1610_78156,0.0366997654640972
2734_138209,0.0364633240550762
1990_70386,0.0364362978346282
2367_97745,0.0363974631521516
1577_62172,0.0363196624813077
2768_116454,0.0361621918285031
3962_164246,0.0359712592949344
595_18889,0.0358662648614664
1990_134304,0.0354064843948994
3101_145494,0.0349264328974849
2255_100339,0.0344686605755693
301_10884,0.0333140322419734
2441_94749,0.0331675341786449
2367_90830,0.0329513464963558
2258_164551,0.0326795739730807
2367_87736,0.0325160483151776
2945_118999,0.0320846461165066
3432_144006,0.031891813865303
343_12044,0.0318502955519244
1868_73585,0.0317126709375901
2255_98786,0.0314450814701325
1091_35467,0.0314213946966288
2367_87720,0.0309349616208972
1990_70731,0.0308613354396831
2541_113625,0.0307700310215916
952_27685,0.0304941736060531
3101_128204,0.0302710989918551
2537_102384,0.0302498599958617
2441_140313,0.0301795160766046
2367_109978,0.0300229039863478
1609_54583,0.0299343156681393
2255_100338,0.0297234550163048
2255_87549,0.0289841900564856
2480_121049,0.0287802167017996
2258_86255,0.0284715934345404
3101_140562,0.0284248879204659
2255_104788,0.0282034707025036
2480_94848,0.0280651913925491
2258_82574,0.0280102924862199
3101_143932,0.0275939924977545
1601_54275,0.02756930458287
2255_160649,0.0271764710263421
2792_139843,0.0271312153994795
2441_150529,0.0270490219989624
3101_142267,0.026956117164699
2255_91205,0.026560670501025
577_18765,0.0265520218537741
301_10871,0.0264827290055571
2441_130740,0.0263345614673231
1610_80029,0.0262894777253373
149_7021,0.0262136752400877
251_12205,0.0261765059907022
1255_51028,0.0259160858238385
2255_110452,0.025885352719381
2138_86516,0.0257800426735816
301_18174,0.0256384442305222
2792_148556,0.0254161521791891
2963_119968,0.0253305601522607
3894_162181,0.0252506985154506
1819_74187,0.0252199620780816
301_10869,0.0251657235309718
2480_112484,0.0250406683545441
2480_118201,0.0247280884781217
3017_123436,0.0246891305445193
3432_152034,0.0241844520489641
149_20210,0.0237628072274397
301_17145,0.0236519528448011
2537_98074,0.0232934261048717
1674_56782,0.0229436408705017
1609_61847,0.0227974037355536
1610_62011,0.0225327662243439
149_35193,0.0218816409610773
2537_101028,0.0218637036968454
1990_113126,0.0214749240747203
1990_86235,0.0213542014973085
2138_77304,0.0213071110516417
149_7022,0.0211403089015353
2818_130995,0.0208312313810424
2258_164542,0.0202164813472063
1255_39335,0.0201796256476054
2659_102498,0.0198383032921146
1819_68669,0.0194086164890512
2537_103870,0.019378147568924
251_16453,0.0191870562347554
2258_86246,0.0190964765995917
1990_142308,0.0187457173094385
1091_32943,0.0187409492021544
1819_80022,0.0183929741281021
2537_167254,0.0181101002181057
1091_40035,0.0179309045604062
2138_81005,0.0176967358767304
2537_113003,0.017560016152293
3547_147740,0.0175552046475933
2537_95891,0.0172217932453945
2537_96842,0.0170900724717467
2258_164670,0.0169823982504548
3558_163586,0.016726029356203
2255_149789,0.0166861643676372
2537_149682,0.0165704340164846
2258_164661,0.016180022272303
149_7019,0.0161762483882083
519_18195,0.0160586102100134
251_12161,0.0159866829305755
203_19475,0.0158674901556492
3101_147434,0.0158485061861614
1610_74433,0.0154858959475733
3810_158675,0.0154534614499176
2543_96323,0.0154191245269827
2537_165372,0.0146352429762074
3332_159293,0.0145042009310632
2258_164560,0.0144085790270693
1819_74151,0.0141979249794422
251_9594,0.0125464178587649
2480_150421,0.0121600288541768
2537_157350,0.0117822922390427
2480_101626,0.0113285179759155
149_30348,0.0111313704402519
3101_138803,0.0110885660876162
149_30340,0.0110792018404815
2480_103680,0.0109132032893414
2537_108380,0.010779338580501
2480_99015,0.0104976837398079
2537_119239,0.0100892016324955
1819_65557,0.0100888558460144
