filename,weighted
60_3450,0.6323276059900159
82_4714,0.00691824948416076
82_4724,0.00938716000828956
82_19479,0.00823752988283706
82_36615,0.007899806781587129
124_6298,0.7410360496741455
124_19644,0.7284773728102459
124_19645,0.7547623420126086
143_6832,0.0026644082467650603
149_7019,0.01617624838820833
149_7020,0.00838879332882526
149_7021,0.026213675240087712
149_7022,0.021140308901535367
149_12765,0.01005345770354646
149_13629,0.01008277158001848
149_20210,0.02376280722743976
149_26295,0.0034687288950720294
149_30340,0.01107920184048158
149_30348,0.01113137044025193
149_35193,0.021881640961077316
203_8499,0.0370966959391936
203_19475,0.01586749015564922
208_8558,0.6500603239856402
208_8571,0.6208204203827394
208_8577,0.6334047877753364
251_9594,0.01254641785876491
251_12161,0.01598668293057556
251_12205,0.02617650599070228
251_16453,0.01918705623475548
255_9641,0.6134537506166164
255_9660,0.513631171593858
255_9668,0.486314934488224
255_9671,0.5428088869730352
255_9675,0.5184256384922054
255_9682,0.3821704863304292
255_9687,0.4970642496852213
255_9691,0.4547346306101342
255_9697,0.5695043185318166
255_9698,0.6064079162314929
255_9707,0.5074244038018388
255_17548,0.3552728970575902
255_19141,0.5389957392070477
255_19142,0.5383874466500665
255_20343,0.3513211248972643
255_25495,0.3015795196446965
255_25499,0.454431305731471
255_25950,0.4770294344847582
255_28845,0.43337295936457737
255_29646,0.5361448589684418
255_30182,0.41608460776709444
255_33415,0.41189172940158547
255_33423,0.46861984114543936
255_35187,0.2862442583727801
255_37585,0.411127654411336
255_39740,0.4712025962621833
255_44280,0.4778245111680771
255_46532,0.37745071092100635
255_48951,0.5675453654264823
255_50050,0.40710637851154785
255_63937,0.3600491716463399
255_63938,0.4519575886547078
255_134554,0.5328016761158996
298_10595,0.1311190363103978
298_10601,0.24808449518294753
298_17775,0.3075190333351906
298_20499,0.21853029404534033
301_10869,0.025165723530971868
301_10871,0.026482729005557176
301_10884,0.03331403224197345
301_17145,0.02365195284480114
301_18174,0.02563844423052225
301_29966,0.005906781679618981
343_12044,0.031850295551924465
343_17953,0.04248050731735931
343_17955,0.04876850777278181
349_12158,0.6482487872258008
391_14748,0.6540158041069275
391_14750,0.6474267129176902
401_14946,0.049768002346589055
401_19786,0.05818743141765632
401_27844,0.08909276681767803
452_16680,0.7147506284327314
452_19357,0.703140075904062
452_26034,0.6880732850974596
499_18026,0.6622897651429855
519_18195,0.01605861021001341
531_18333,0.0682166527628309
531_29813,0.0634337411997362
531_32910,0.132327628217099
531_65127,0.054667241249282954
531_65397,0.3358347027764737
531_65764,0.23640964423100164
531_66734,0.31333850793218376
531_66888,0.18216679597552313
577_18765,0.02655202185377412
577_23778,0.06370359299320906
583_18786,0.6536905817277239
595_18889,0.03586626486146649
595_18891,0.010016411499446919
643_19288,0.06260095959828227
655_19379,0.6773623429934755
655_19381,0.690239874036945
657_19396,0.6215717514173896
667_19434,0.6975469020667553
677_19543,0.6706406432863177
677_43406,0.665255832995503
806_21516,0.6546470642917854
894_24103,0.6500614734515417
