book_id,weighted,title
3210,0.7392071120935533,被夹在百合之间的我，顺势劈腿了(关于被百合夹在中间的我，顺势脚踏两只船这件事)
3232,0.6785288763094454,魔女的宠爱
3249,0.6270016441803198,弗莉达的世界 天上没有的群星
3250,0.7057997556284042,百年文通
3251,0.6285800276548256,最后也是最初的偶像
3269,0.097438835058184,所有偶像皆不老的世界
3275,0.0400823450098819,推偶像三原则
3280,0.060023669970677,为青年设立的读书俱乐部
3294,0.0393604255820337,楠芽吹是勇者(勇者部系列四)
3295,0.056653450364398,结城友奈是勇者 勇者史外典
3316,0.060387786431617,Lycoris Recoil 莉可丽丝 Ordinary days
3332,0.037288335787766,我们没有故事
3375,0.0720472300263213,强袭魔女Memorial Episode 在一起哦
3386,0.6417627411693769,猎猫一族之长
3406,0.0540010518575228,反派千金沦为庶民
3412,0.0095704898651741,少女同志，向敌人开枪吧
3413,0.0635362898589076,十岁的最强魔导师
343,0.0410331035473551,静流姐系列
3432,0.0314743994778198,祈祷之国的莉莉艾儿
349,0.6482487872258008,BLACK SHEEP 圣夜迷途的黑羊
3505,0.7075665003466889,焦点深度
3507,0.6375538747614353,沙漠蔷薇
3519,0.7805705261956952,我买下了与她的每周密会～以五千圆为借口，共度两人时光～(一周一次买下同班同学的那些事)
3525,0.0689860812101942,Lovelive! 虹咲学园偶像同好会 红莲的剑姬~Flamesword Princess~
3542,0.3185548164090019,CARNEADES
3547,0.0521237854320494,NO推理、NO侦探？
3558,0.0402630842867432,狱门抚子在此
3560,0.6882054605945164,回忆重叠的乐园战场。接着两人，拿起了武器(少女执利兵于手，相战于交织希望的乐园战场)
3585,0.8017769253160895,败给性格恶劣的天才儿时玩伴，初体验全部被她夺走(败给了性格恶劣的天才青梅，初体验全部被夺走这件事)
3590,0.0673646667985839,Stellar step
3611,0.1642542520489359,我的初恋太过羞耻无法对人诉说
3625,0.7018271861032862,捡到小猫，我也仅是小猫
3639,0.6501644547991752,不动火轮一动不动
3653,0.6249205952580655,区区平民竟敢这么嚣张！
3665,0.6948058955285189,你以为我的百合人设只是商业卖点？
3667,0.7048577966493202,四人制姐妹百合物帐
3693,0.6699729960427747,在这得说猫语
3703,0.6163811140625779,蜘蛛与制服
3716,0.7930491553557654,初恋Signal
3723,0.7229205962766572,她她
3735,0.0534095637825832,少女星间漂流记
3754,0.0736702692965424,深夜重拳(深夜PUNCH 动画投稿者是吸血鬼！？)
3755,0.7179733671060586,碱性劣等生
3759,0.7464023375832934,只要活着
3763,0.6930089189388118,心上人的妹妹(我心爱之人的妹妹)
3780,0.654331426418304,请待在有光的地方
3784,0.7621643443365185,我发现了小小的百合
3785,0.6729860607192679,想成为勇者的少女，与注定成为勇者的她(想要成为勇者的少女，与理应成为勇者的她)
3800,0.673667728568035,魔女们的选择 两位魔女的英雄史诗
3802,0.6313338135772388,谋杀勇者的新娘
3810,0.0298770537460854,经学少女传~考试地狱中的男装大小姐~
3816,0.8495903801867098,猫之山宁宁子是猫族
3817,0.6538920675392671,末日尽头的少女背包之旅
3833,0.7372367116482422,在放学后的教室里，恋爱浮现
3854,0.6924043660964665,鹿乃江同学的左手
3862,0.6552122816128584,少女所不期望的英雄史诗
3863,0.0722413155922714,魔女之旅 学园物语
3866,0.7305902609175254,与她女友的不纯初恋
3872,0.8080164093591624,人妻教师被班里的女高中生迷的神魂颠倒的故事
3885,0.0533780420475657,寂静魔女 索姆斯没人要中队Reboot
3894,0.0252506985154506,两个人是光之美少女
391,0.6507212585123088,眼镜少女 HOLIC
3917,0.9998089710454546,志乃与恋 Future
3961,0.6693802327916004,异界扫灭的战斗女仆
3962,0.0359712592949344,转生千金卡特娜在异世界追寻梦想成为刀匠！
3963,0.8115185449355948,摩卡奇诺-小学生百合短篇集-
3964,0.6579719155091326,双星·飓风·离乡人
3986,0.7330414211868115,谁才是我的百合呢！？
3998,0.7826140875719646,班上的公主是我的小狗
401,0.0656827335273077,德鲁伊来啰!
4014,0.0372125471265749,在揍爆向导天使之后，我当上了死灵术师
4026,0.1303109086818741,花物语
4040,0.747721252331105,夏天的少女归来了
4043,0.7099292774008022,雨之塔
452,0.7019879964780843,菖蒲的少女革命！
499,0.6622897651429855,香草追击 A sweet partner
519,0.0160586102100134,向阳素描 欢迎来到向阳庄
531,0.1732993642930164,苍穹女武神(苍穹的驱真)
