filename,pred_prob,yuri_norm_line,yuri_norm_actpsy,weighted
60_3450,0.9994429060515873,0.0969529085872576,0.0357598978288633,0.6323276059900159
82_4714,0.0052977288263252,0.0124653739612188,0.0,0.00691824948416076
82_4724,0.0080275381486267,0.0152354570637118,0.0,0.00938716000828956
82_19479,0.0012638425101763,0.0249307479224376,0.0,0.00823752988283706
82_36615,0.001393491450383,0.0235457063711911,0.0,0.007899806781587129
124_6298,0.9996767228645832,0.3324099722991689,0.4150702426564495,0.7410360496741455
124_19644,0.9996928004411766,0.3684210526315789,0.1813537675606641,0.7284773728102459
124_19645,0.9979978388888888,0.3781163434903047,0.4252873563218391,0.7547623420126086
143_6832,0.0001835497173628,0.0,0.0255427841634738,0.0026644082467650603
149_7019,0.0017118553315912,0.0470914127423822,0.0102171136653895,0.01617624838820833
149_7020,0.0002957083683028,0.0180055401662049,0.0280970625798211,0.00838879332882526
149_7021,0.0003363020297959,0.0692520775623268,0.0523627075351213,0.026213675240087712
149_7022,0.0049277357078612,0.0512465373961218,0.0280970625798211,0.021140308901535367
149_12765,0.0035468650823157,0.0221606648199445,0.0127713920817369,0.01005345770354646
149_13629,0.0001841206850724,0.0332409972299168,0.0,0.01008277158001848
149_20210,0.0049786399312362,0.0692520775623268,0.0,0.02376280722743976
149_26295,0.0002410486201339,0.0110803324099723,0.0,0.0034687288950720294
149_30340,0.0040842536273233,0.0249307479224376,0.0114942528735632,0.01107920184048158
149_30348,0.0026243062277514,0.0318559556786703,0.0,0.01113137044025193
149_35193,0.0025388317477055,0.0623268698060941,0.0166028097062579,0.021881640961077316
203_8499,0.0329577586752911,0.0526315789473684,0.0153256704980842,0.0370966959391936
203_19475,0.0015719683266309,0.0429362880886426,0.020434227330779,0.01586749015564922
208_8558,0.9976898365353384,0.1301939058171745,0.123882503192848,0.6500603239856402
208_8571,0.9933682069380988,0.0720221606648199,0.0319284802043422,0.6208204203827394
208_8577,0.9980993121782236,0.095567867036011,0.0587484035759897,0.6334047877753364
251_9594,0.0069013755556503,0.0263157894736842,0.0051085568326947,0.01254641785876491
251_12161,0.0104016311367558,0.0235457063711911,0.0268199233716475,0.01598668293057556
251_12205,0.0157677735964139,0.0540166204986149,0.0051085568326947,0.02617650599070228
251_16453,0.0047062572538364,0.0498614958448753,0.0140485312899105,0.01918705623475548
255_9641,0.8511388562265823,0.2770083102493075,0.1966794380587484,0.6134537506166164
255_9660,0.7142048886025331,0.2590027700831024,0.074074074074074,0.513631171593858
255_9668,0.683508207814281,0.1897506925207756,0.1928480204342273,0.486314934488224
255_9671,0.7841436529156572,0.2146814404432133,0.0791826309067688,0.5428088869730352
255_9675,0.7421649706135472,0.2326869806094182,0.0332056194125159,0.5184256384922054
255_9682,0.6066417499379008,0.056786703601108,0.0114942528735632,0.3821704863304292
255_9687,0.6865992483910387,0.2479224376731301,0.10727969348659,0.4970642496852213
255_9691,0.6097632451137478,0.2617728531855955,0.1034482758620689,0.4547346306101342
255_9697,0.7624983884764949,0.3005540166204986,0.2183908045977011,0.5695043185318166
255_9698,0.8957302560867092,0.2132963988919667,0.0498084291187739,0.6064079162314929
255_9707,0.8086859278353798,0.0706371191135734,0.0102171136653895,0.5074244038018388
255_17548,0.4977856605509602,0.1759002770083102,0.0383141762452107,0.3552728970575902
255_19141,0.7444571959747223,0.2506925207756232,0.1711366538952746,0.5389957392070477
255_19142,0.756703275823435,0.2326869806094182,0.1455938697318007,0.5383874466500665
255_20343,0.4866214840454029,0.1786703601108033,0.057471264367816,0.3513211248972643
255_25495,0.4389235695352702,0.1218836565096952,0.0166028097062579,0.3015795196446965
255_25499,0.6319911942960038,0.2409972299168974,0.0293742017879948,0.454431305731471
255_25950,0.7569153080981311,0.0609418282548476,0.0459770114942528,0.4770294344847582
255_28845,0.6301947950555346,0.1620498614958448,0.0664112388250319,0.43337295936457737
255_29646,0.7532383336965259,0.2202216066481994,0.1813537675606641,0.5361448589684418
255_30182,0.5891254101484231,0.1925207756232687,0.0485312899106002,0.41608460776709444
255_33415,0.5525776390250368,0.2409972299168974,0.0804597701149425,0.41189172940158547
255_33423,0.7097093249894358,0.131578947368421,0.0332056194125159,0.46861984114543936
255_35187,0.3628794760570312,0.1939058171745152,0.1034482758620689,0.2862442583727801
255_37585,0.5615389832820441,0.2077562326869806,0.1187739463601532,0.411127654411336
255_39740,0.6826945247359195,0.1869806094182825,0.0549169859514687,0.4712025962621833
255_44280,0.721219024069311,0.131578947368421,0.0561941251596423,0.4778245111680771
255_46532,0.5779488313000783,0.0941828254847645,0.0242656449553001,0.37745071092100635
255_48951,0.82041851738375,0.2216066481994459,0.0881226053639846,0.5675453654264823
255_50050,0.5947244614565146,0.1509695290858725,0.0498084291187739,0.40710637851154785
255_63937,0.5333390468807343,0.1232686980609418,0.0306513409961685,0.3600491716463399
255_63938,0.6759190737256361,0.1440443213296398,0.0319284802043422,0.4519575886547078
255_134554,0.8104552074139436,0.1274238227146814,0.0830140485312899,0.5328016761158996
298_10595,0.1830062073954142,0.0595567867036011,0.0344827586206896,0.1311190363103978
298_10601,0.3749087998894886,0.0720221606648199,0.0153256704980842,0.24808449518294753
298_17775,0.4003041461600621,0.1980609418282548,0.0791826309067688,0.3075190333351906
