book_id,weighted
1020,0.7853724052484429
1021,0.0549110623645219
1091,0.02837359760377885
1115,0.666535339127301
1156,0.0574358314813475
1215,0.062249597632083986
124,0.7030864579166406
1255,0.03519595627691615
1414,0.6084959598125441
143,0.0326956271880737
149,0.015969481891883974
1577,0.0466249098279209
1601,0.0325611311213429
1609,0.0221680213252547
1610,0.02533418023570567
1642,0.2022275191008465
1643,0.4747257130259483
1674,0.0182167670061163
1677,0.10881317955335895
1683,0.644038540124368
1698,0.6855481053334688
1729,0.6385054850307447
1751,0.1076229075861376
1819,0.0135726695487226
1833,0.5115528344101
1845,0.06071828469297095
1868,0.06975161009304039
1966,0.08261972681022213
1990,0.010689028211392507
203,0.0275985914045997
208,0.18517738095998035
2099,0.784490172179009
2131,0.66538070329242
2138,0.025590838332731528
2152,0.030274646128700036
2235,0.19669338937924258
2255,0.041509254408688995
2258,0.023041312588795375
2291,0.7034453083696643
2300,0.0947205160419761
2306,0.08857730258369963
2314,0.04258030587517277
2367,0.12853282175992514
2410,0.023919584218948634
2418,0.0587328043974746
2431,0.4578162325198085
2438,0.050868920997620096
2441,0.017400863092839215
2451,0.6495883095881597
2464,0.6599980743755773
2468,0.6611389914183075
2471,0.019612642679403016
2480,0.015866858838543087
2482,0.709618967850259
2492,0.629118548404687
2496,0.2345141120010825
251,0.033671874440138354
2537,0.012940478846353595
2541,0.03812790068946305
2543,0.0160271046823422
255,0.23290318865966136
2562,0.5742392194194597
2635,0.6570562716985425
2651,0.627297669182786
2659,0.0298195234570814
2661,0.463245665447619
2680,0.6347967566453627
2685,0.0936512199102653
2689,0.1114858818422331
2734,0.05102478672668747
2751,0.7355100969381314
2756,0.660419912540728
2768,0.05839362967085935
2773,0.6693960251224983
2788,0.9281482974245268
2792,0.04919314583176788
2812,0.4671189502070622
2818,0.03418513398687295
2828,0.26553669218100995
2845,0.05892502389444315
2855,0.0370096357543358
2895,0.07160051324515883
2896,0.6847323514579734
2905,0.7825094800859148
2920,0.69623254990932
2945,0.0320302270537285
2963,0.0271645499949018
298,0.6222752811599013
2997,0.6533980263690088
301,0.2660842924844972
3017,0.03105466683895235
3056,0.6977443049163696
3078,0.6279810441588669
3089,0.046596416635835
3097,0.7031482360566361
3101,0.02530196964412983
3128,0.727746920995061
3137,0.06422168385706258
3210,0.520141672602638
3232,0.6661509830391538
3249,0.6178679548994571
3250,0.2324770842561883
3251,0.6288467630159421
3269,0.1275993663833996
3275,0.0454806032746305
3280,0.0664177350027436
3294,0.0391465845380111
3295,0.07700213085097965
3316,0.0603413198270686
3332,0.1792704660668814
3375,0.0720509059716414
3386,0.2283390116939067
3406,0.5880389495081987
3412,0.1041418536452554
3413,0.3190105017272071
343,0.058005166103393034
3432,0.0831036369046271
349,0.6348465341545999
3505,0.679076460694098
3507,0.6235679691127964
3519,0.7806668531758791
3525,0.0729343473065796
3542,0.7045887646695027
3547,0.0679195737047064
3558,0.03790199502313612
3560,0.6841171030977421
3585,0.8015036105958695
3590,0.0683696946975523
3611,0.17035351370304952
3625,0.7009269529523352
3639,0.6415225868772796
3653,0.6712593855269623
3665,0.6898673695357901
3667,0.1952480173529083
3693,0.6553923566372772
3703,0.3788127612627716
3716,0.5827873843082736
3723,0.7087490524014016
3735,0.061674450110358756
3754,0.0736074317015817
3755,0.7103402819029003
3759,0.38244381727516563
3763,0.8113644895045553
3780,0.5043797512982795
3784,0.6981024583333545
3785,0.1558262498896008
3800,0.6473658289494237
3802,0.6112089799565777
3810,0.0276372720179854
3816,0.8489751650558192
3817,0.6420436707980183
3833,0.7298831893020794
3854,0.6863013007441111
3862,0.2602872043970853
3863,0.0742280134230045
3866,0.7306499695594414
3872,0.7969294391600334
3885,0.0375693971433086
3894,0.2048286383908092
391,0.6163526095090128
3917,0.9967824330430194
3961,0.6078328710318759
3962,0.1286889932736043
3963,0.799350367253766
3964,0.6503410829087222
3986,0.4460612430947511
3998,0.7742355841656653
401,0.060110491762696006
4014,0.0357594709295772
4026,0.1228400559463196
4040,0.7377117993261977
4043,0.2562201723016044
452,0.7011049178749058
499,0.6563655625772052
519,0.0238445790351273
531,0.03816578536576318
577,0.0493206532640255
583,0.136527940849543
595,0.03250620873091545
60,0.6195432489273254
643,0.0569862058652207
655,0.6730384974542174
657,0.356942146227199
667,0.6965934956763671
677,0.663692222288822
806,0.6508265197516447
82,0.0085490394986442
894,0.6506052980448302
915,0.6330381187186148
929,0.6989774012560339
952,0.0448227369385586
972,0.0210786556791749
