book_id,vol_id,prob,label
255,9641,0.36119643,1
255,9660,0.30446255,1
255,9668,0.54311574,1
255,9671,0.28848684,1
255,9675,0.07097307,1
255,9682,0.21420217,1
255,9687,0.1436448,1
255,9691,0.13820055,1
255,9697,0.28897372,1
255,9698,0.17343275,1
255,9707,0.28144553,1
255,17548,0.0512462,1
255,19141,0.15291232,1
255,19142,0.39575273,1
255,20343,0.046629056,1
255,25495,0.22195911,1
255,25499,0.27261734,1
255,25950,0.32910228,1
255,28845,0.19820601,1
255,29646,0.48267642,1
255,30182,0.06765395,1
255,33415,0.10447357,1
255,33423,0.026487397,1
255,35187,0.1964242,1
255,37585,0.2389971,1
255,39740,0.49981716,1
255,44280,0.15939802,1
255,46532,0.49620116,1
255,48951,0.5074004,1
255,50050,0.146133,1
255,63937,0.5276357,1
255,63938,0.5128756,1
255,134554,0.8705094,1
298,10595,0.94322634,1
298,10601,0.98783356,1
298,17775,0.98725224,1
298,20499,0.98176533,1
531,18333,0.0003265725,0
531,29813,0.0015315099,0
531,32910,0.004722346,0
531,65127,0.00012967087,0
531,65397,4.95159e-05,0
531,65764,5.272011e-05,0
531,66734,0.062238265,0
531,66888,5.468888e-05,0
1215,37600,0.040506583,0
1215,45500,0.055338643,0
1215,50634,0.05765208,0
1215,53513,0.009472301,0
1215,59762,0.013565346,0
1215,69536,0.04710439,0
1215,112296,0.06314339,0
1610,54619,0.0031348816,0
1610,61794,0.00020006896,0
1610,62011,9.475013e-05,0
1610,74433,4.817449e-05,0
1610,74947,0.00012244041,0
1610,78156,4.815874e-05,0
1610,80029,4.7851114e-05,0
1683,57157,0.9486197,1
1683,72353,0.9922961,1
1683,72363,0.9732479,1
1683,72396,0.88468033,1
1683,72409,0.91322875,1
1683,81033,0.72619796,1
1683,81043,0.83117396,1
1683,97801,0.8360958,1
1683,99285,0.8959797,1
1683,115965,0.8637602,1
1683,117332,0.9628432,1
1683,125053,0.8033741,1
1683,139072,0.81038284,1
1683,148767,0.8799834,1
1683,159554,0.9817113,1
1683,160185,0.9511025,1
1966,69040,0.014662546,0
1966,73874,0.0098266695,0
1966,75787,0.00015764672,0
1966,77579,0.0038278776,0
1990,70386,0.0010085189,0
1990,70731,5.6003093e-05,0
1990,85340,5.115153e-05,0
1990,86235,0.0013621224,0
1990,89877,0.0012821165,0
1990,89890,0.00014641898,0
1990,91522,0.0016377659,0
1990,113126,4.8543257e-05,0
1990,116250,0.004927667,0
1990,134304,0.0020502151,0
1990,142308,5.2851545e-05,0
1990,147036,0.01555681,0
1990,150239,0.00010406522,0
2152,77900,0.003150368,0
2152,79067,0.0058054565,0
2152,80684,5.686126e-05,0
2152,82625,0.0013120797,0
2152,86579,0.00011678242,0
2152,89132,0.00018301148,0
2152,92927,0.0027069915,0
2152,97205,0.0024392873,0
2152,106047,0.0013759426,0
2152,109918,4.7770485e-05,0
2152,112766,0.38187036,0
2152,112870,4.8239835e-05,0
2152,113497,0.0054571256,0
2152,114477,0.009724887,0
2152,115107,0.0018918009,0
2152,117475,0.0012893436,0
2152,119565,4.9191814e-05,0
2152,128293,4.795667e-05,0
2152,131798,5.0084822e-05,0
2152,137195,0.00254074,0
2152,139562,0.031941917,0
2152,141783,0.005553144,0
2152,145859,0.015995791,0
2152,159173,0.0030155296,0
2306,84905,0.017331162,0
2306,98863,0.094347335,0
2306,98864,0.024678163,0
2410,89519,0.014868186,0
2410,97497,0.018373042,0
2410,110426,0.004361239,0
2441,91100,0.008890437,0
2441,91746,0.00010123932,0
2441,94749,0.002934955,0
2441,98122,5.8822574e-05,0
2441,103769,0.010271602,0
2441,106148,0.00013995086,0
2441,111561,0.0025266414,0
2441,113367,0.0039906017,0
2441,116433,0.0068961484,0
2441,119910,0.000115898925,0
2441,125778,0.0016844546,0
2441,130740,0.0005724815,0
2441,140313,0.0034947412,0
2441,147727,5.28281e-05,0
2441,150529,6.0379683e-05,0
2451,91489,0.9902218,1
2451,94926,0.99078494,1
2451,116164,0.97233164,1
2451,127924,0.9736765,1
2451,137549,0.9830776,1
2451,164214,0.99364,1
2468,92542,0.98922026,1
2468,98528,0.9856582,1
2468,114697,0.98132867,1
2468,114701,0.9578535,1
2468,115960,0.9976015,1
2468,122234,0.9941754,1
2468,129551,0.99953353,1
2468,144039,0.998069,1
2468,160019,0.98778915,1
2471,92679,0.0012784248,0
2471,95234,0.0008802165,0
2471,101712,0.0077114813,0
2471,101717,0.0074576624,0
2471,107289,0.0021757856,0
2471,111398,9.4637406e-05,0
