book_id,vol_id,prob,label
255,9641,0.35033676,1
255,9660,0.33838832,0
255,9668,0.36270955,0
255,9671,0.34106877,0
255,9675,0.3888659,1
255,9682,0.3815285,1
255,9687,0.39456663,0
255,9691,0.39521685,0
255,9697,0.36090747,1
255,9698,0.33989927,1
255,9707,0.37895688,1
255,17548,0.3520781,1
255,19141,0.3457764,1
255,19142,0.36308613,1
255,20343,0.38703966,1
255,25495,0.3486909,0
255,25499,0.3289051,1
255,25950,0.36904302,1
255,28845,0.35690233,1
255,29646,0.36801052,1
255,30182,0.35541958,1
255,33415,0.39192498,1
255,33423,0.35000485,0
255,35187,0.33740047,1
255,37585,0.3521902,0
255,39740,0.36205274,0
255,44280,0.33794847,0
255,46532,0.39385885,0
255,48951,0.40226203,1
255,50050,0.39973053,0
255,63937,0.39600793,0
255,63938,0.38939506,1
255,134554,0.31894702,1
298,10595,0.37573615,0
298,10601,0.3530383,1
298,17775,0.3939817,0
298,20499,0.37517327,0
531,18333,0.34943214,1
531,29813,0.35033518,0
531,32910,0.3731316,0
531,65127,0.33002746,0
531,65397,0.3923195,0
531,65764,0.35093716,1
531,66734,0.38697794,1
531,66888,0.36664295,1
1215,37600,0.35668683,0
1215,45500,0.3566691,1
1215,50634,0.37406787,1
1215,53513,0.36523736,0
1215,59762,0.36805317,0
1215,69536,0.3608076,1
1215,112296,0.3615207,0
1610,54619,0.3294854,1
1610,61794,0.35413772,1
1610,62011,0.39398837,0
1610,74433,0.38967207,0
1610,74947,0.37044963,0
1610,78156,0.37047067,1
1610,80029,0.3711796,0
1683,57157,0.3467237,0
1683,72353,0.35529238,0
1683,72363,0.34339434,0
1683,72396,0.37423787,0
1683,72409,0.34824628,1
1683,81033,0.39485738,1
1683,81043,0.32944497,1
1683,97801,0.36869943,0
1683,99285,0.36726657,0
1683,115965,0.35506782,0
1683,117332,0.36965966,1
1683,125053,0.39580038,1
1683,139072,0.38243428,0
1683,148767,0.34931773,0
1683,159554,0.39585623,0
1683,160185,0.3875247,0
1966,69040,0.34018165,1
1966,73874,0.3654593,1
1966,75787,0.34549305,1
1966,77579,0.33969533,0
1990,70386,0.34601864,0
1990,70731,0.3852626,0
1990,85340,0.34828517,1
1990,86235,0.38600394,1
1990,89877,0.3786881,0
1990,89890,0.36545148,0
1990,91522,0.37628666,1
1990,113126,0.3847411,0
1990,116250,0.36868185,0
1990,134304,0.38164762,1
1990,142308,0.37080932,1
1990,147036,0.36116213,0
1990,150239,0.3467976,0
2152,77900,0.38190198,1
2152,79067,0.34541565,0
2152,80684,0.385747,1
2152,82625,0.3690377,0
2152,86579,0.38360903,1
2152,89132,0.36635375,1
2152,92927,0.3680582,0
2152,97205,0.3564444,1
2152,106047,0.364361,1
2152,109918,0.34426513,1
2152,112766,0.3988741,1
2152,112870,0.35751456,1
2152,113497,0.33214307,0
2152,114477,0.3639463,1
2152,115107,0.35027498,1
2152,117475,0.39386737,0
2152,119565,0.3585507,1
2152,128293,0.3848905,0
2152,131798,0.36383867,1
2152,137195,0.335106,1
2152,139562,0.35702065,0
2152,141783,0.41890794,1
2152,145859,0.36916345,0
2152,159173,0.36113232,1
2306,84905,0.3427075,1
2306,98863,0.34566903,0
2306,98864,0.40153348,0
2410,89519,0.35653025,1
2410,97497,0.34656015,1
2410,110426,0.35194954,1
2441,91100,0.35556555,0
2441,91746,0.38645676,0
2441,94749,0.34858072,0
2441,98122,0.36601943,0
2441,103769,0.400185,1
2441,106148,0.36955738,1
2441,111561,0.37889147,1
2441,113367,0.3775046,1
2441,116433,0.3640834,0
2441,119910,0.36310294,0
2441,125778,0.3572679,0
2441,130740,0.35924432,1
2441,140313,0.35803118,0
2441,147727,0.37530252,1
2441,150529,0.36137018,0
2451,91489,0.36266765,1
2451,94926,0.3824708,0
2451,116164,0.37450323,1
